titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
LES DERNIERS JOURS DU MONDE;JEAN MARIE LARRIEU;09/11/2008;09/11/2008;EXTERIEUR;RUE BELLEFOND;75009;RUE BELLEFOND 75009 Paris France;48.87787, 2.346925
LES DERNIERS JOURS DU MONDE;JEAN MARIE LARRIEU;09/11/2008;09/11/2008;EXTERIEUR;RUE DU FAUBOURG SAINT MARTIN;75010;RUE DU FAUBOURG SAINT MARTIN 75010 Paris France;48.876831, 2.360984
LE DERNIER POUR LA ROUTE;PHILIPPE GODEAU;15/09/2008;15/09/2008;EXTERIEUR;RUE DE PHALSBOURG;75017;RUE DE PHALSBOURG 75017 Paris France;
LE DERNIER POUR LA ROUTE;PHILIPPE GODEAU;15/09/2008;15/09/2008;EXTERIEUR;RUE DE LOGELBACH;75017;RUE DE LOGELBACH 75017 Paris France;
BANLIEUE 13  ULTIMATUM;PATRICK ALESSANDRIN;11/12/2008;13/11/2008;EXTERIEUR;RUE AMPERE;75017;RUE AMPERE 75017 Paris France;48.885261, 2.30282
LONDON DREAMS;VIPUL SHA;18/09/2008;18/09/2008;EXTERIEUR;PASSERELLE SOLFERINO;75007;PASSERELLE SOLFERINO 75007 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;11/03/2009;11/03/2009;DOMAINE PUBLIC;SQUARE SAINT BERNARD;75018;SQUARE  SAINT BERNARD 75018 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;19/10/2009;19/10/2009;EXTERIEUR;BOULEVARD BEAUSEJOUR;75016;BOULEVARD BEAUSEJOUR 75016 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;22/10/2009;22/10/2009;EXTERIEUR;PONT DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;19/10/2009;19/10/2009;EXTERIEUR;RUE RAYNOUARD;75016;RUE RAYNOUARD 75016 Paris France;48.855293, 2.280603
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;14/12/2009;17/12/2009;EXTERIEUR;BOULEVARD RASPAIL;75014;BOULEVARD RASPAIL 75014 Paris France;48.840591, 2.330121
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;21/10/2009;21/10/2009;EXTERIEUR;AVENUE DE CAMOENS;75016;AVENUE DE CAMOENS 75016 Paris France;48.8597, 2.286512
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;11/06/2009;11/06/2009;DOMAINE PUBLIC;JARDIN NOTRE DAME;75004;JARDIN  NOTRE DAME 75004 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;28/10/2009;28/10/2009;EXTERIEUR;RUE PHILIPPE DE GIRARD;75010;RUE PHILIPPE DE GIRARD 75010 Paris France;48.8845, 2.361457
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;11/10/2009;11/10/2009;EXTERIEUR;RUE DU CARDINAL DUBOIS;75018;RUE DU CARDINAL DUBOIS 75018 Paris France;48.885897, 2.343163
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;11/10/2009;11/10/2009;EXTERIEUR;RUE DE CHARTRES;75018;RUE DE CHARTRES 75018 Paris France;48.884603, 2.353998
HEREAFTER;CLINT EASTWOOD;21/10/2009;21/10/2009;EXTERIEUR;AVENUE ALBERT DE MUN;75016;AVENUE ALBERT DE MUN 75016 Paris France;48.863064, 2.291776
HEREAFTER;CLINT EASTWOOD;20/10/2009;20/10/2009;EXTERIEUR;PONT DU GARIGLIANO;75015;PONT DU GARIGLIANO 75015 Paris France;48.839255, 2.268468
CIEL ETRANGER;ANDREI ESHPAY;29/10/2009;29/10/2009;EXTERIEUR;COURS LA REINE;75008;COURS LA REINE 75008 Paris France;48.864827, 2.3142
LA SIGNATURE;S. HARALAMBOPOULOS;11/08/2009;11/08/2009;EXTERIEUR;RUE ANDROUET;75018;RUE ANDROUET 75018 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;19/11/2009;19/11/2009;EXTERIEUR;PONT MARIE;75004;PONT MARIE 75004 Paris France;48.852808, 2.357356
