titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
THE DREAMERS;BERNARDO BERTOLUCCI;09/10/2002;09/10/2002;EXTERIEUR;RUE SAINT JACQUES;75005;RUE SAINT JACQUES 75005 Paris France;48.845594, 2.342679
THE DREAMERS;BERNARDO BERTOLUCCI;08/07/2002;08/07/2002;EXTERIEUR;RUE LE GOFF;75005;RUE LE GOFF 75005 Paris France;48.846384, 2.341394
L'EAU...LE FEU;LUCIANO EMMER;08/05/2002;08/05/2002;EXTERIEUR;AVENUE DE NEW YORK;75016;AVENUE DE NEW YORK 75016 Paris France;48.860897, 2.291779
L'EAU...LE FEU;LUCIANO EMMER;08/05/2002;08/05/2002;EXTERIEUR;BOULEVARD DE CLICHY;75018;BOULEVARD DE CLICHY 75018 Paris France;48.883617, 2.333584
L'EAU...LE FEU;LUCIANO EMMER;08/04/2002;08/04/2002;EXTERIEUR;PLACE DE VARSOVIE;75016;PLACE DE VARSOVIE 75016 Paris France;48.860104, 2.290901
L'EAU...LE FEU;LUCIANO EMMER;08/05/2002;08/05/2002;EXTERIEUR;PLACE DE VARSOVIE;75016;PLACE DE VARSOVIE 75016 Paris France;48.860104, 2.290901
L'EAU...LE FEU;LUCIANO EMMER;08/06/2002;08/06/2002;EXTERIEUR;QUAI DE JEMMAPES;75010;QUAI DE JEMMAPES 75010 Paris France;48.876681, 2.365244
L'EAU...LE FEU;LUCIANO EMMER;08/06/2002;08/06/2002;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE;75011;RUE DU FAUBOURG DU TEMPLE   75011 Paris France;48.870763, 2.373493
L'EAU...LE FEU;LUCIANO EMMER;08/10/2002;08/10/2002;EXTERIEUR;RUE DE NEW YORK;75016;RUE DE NEW YORK 75016 Paris France;48.860897, 2.291779
L'EAU...LE FEU;LUCIANO EMMER;08/05/2002;08/05/2002;EXTERIEUR;SQUARE JULES FERRY;75011;SQUARE JULES FERRY 75011 Paris France;48.866865, 2.368794
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;23/10/2002;23/10/2002;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES   75008 Paris France;48.869576, 2.30825
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;26/10/2002;26/10/2002;EXTERIEUR;BOULEVARD PASTEUR;75015;BOULEVARD PASTEUR 75015 Paris France;48.842041, 2.313547
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;14/10/2002;14/10/2002;EXTERIEUR;BOULEVARD MONTMARTRE;75002;BOULEVARD MONTMARTRE   75002 Paris France;48.87152, 2.342055
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;25/10/2002;25/10/2002;EXTERIEUR;BOULEVARD PASTEUR;75015;BOULEVARD PASTEUR 75015 Paris France;48.842041, 2.313547
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;08/03/2002;08/03/2002;EXTERIEUR;PLACE JEAN ROSTAND;75019;PLACE JEAN ROSTAND 75019 Paris France;48.872895, 2.37655
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;22/10/2002;22/10/2002;EXTERIEUR;PLACE DE COLOMBIE;75016;PLACE DE COLOMBIE 75016 Paris France;48.863041, 2.267622
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;17/10/2002;17/10/2002;EXTERIEUR;PLACE DES TERNES;75008;PLACE DES TERNES 75008 Paris France;48.877961, 2.298467
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;08/03/2002;08/03/2002;EXTERIEUR;PORT DE LA CHAPELLE/SS LE PERIPHERIQUE;75018;PORT DE LA CHAPELLE/SS LE PERIPHERIQUE 75018 Paris France;48.89215, 2.344447
JEUNES, BEAUX....MAIS DETRAQUES;IGOR SEKULIC;15/10/2002;15/10/2002;EXTERIEUR;RUE TILSITT;75017;RUE TILSITT   75017 Paris France;48.875201, 2.294338
SANS COEUR;MICHELE ROSIER;17/09/2007;17/09/2007;EXTERIEUR;RUE PERREE;75003;RUE PERREE 75003 Paris France;48.864641, 2.361339
SANS COEUR;MICHELE ROSIER;17/09/2007;17/09/2007;EXTERIEUR;RUE EUGENE SPULLER;75003;RUE EUGENE SPULLER 75003 Paris France;48.864368, 2.361848
LE BAL DES ACTRICES;MAÃWEN LE BESCO;24/10/2007;24/10/2007;EXTERIEUR;RUE BACHAUMONT;75002;RUE BACHAUMONT 75002 Paris France;48.865968, 2.346069
LE BAL DES ACTRICES;MAÃWEN LE BESCO;28/09/2007;28/09/2007;EXTERIEUR;RUE DELBET;75014;RUE DELBET 75014 Paris France;
LE BAL DES ACTRICES;MAÃWEN LE BESCO;18/10/2007;18/10/2007;EXTERIEUR;RUE MONTMARTRE;75002;RUE MONTMARTRE 75002 Paris France;48.867292, 2.344011
SUR TA JOUE ENNEMIE;J.X. DE LESTRADE;25/09/2007;25/09/2007;DOMAINE PUBLIC;SQUARE SARAH BERNARDT;75020;SQUARE SARAH BERNARDT 75020 Paris France;
MES AMIS, MES AMOURS;LORRAINE LEVY;10/05/2007;10/05/2007;EXTERIEUR;RUE POULMARCH;75010;RUE POULMARCH 75010 Paris France;
BOUQUET FINAL;MICHEL DELGADO;20/12/2007;22/12/2007;EXTERIEUR;PLACE VAUBAN;75007;PLACE VAUBAN 75007 Paris France;48.853663, 2.312772
BOUQUET FINAL;MICHEL DELGADO;11/05/2007;11/05/2007;EXTERIEUR;RUE CREMIEUX;75012;RUE CREMIEUX 75012 Paris France;48.847018, 2.371107
MUSEE HAUT, MUSEE BAS;JEAN MICHEL RIBES;15/10/2007;15/10/2007;DOMAINE PUBLIC;JARDIN DU MUSEE DU PETIT PALAIS;75008;JARDIN DU MUSEE DU PETIT PALAIS 75008 Paris France;
MUSEE HAUT, MUSEE BAS;JEAN MICHEL RIBES;11/12/2007;11/12/2007;DOMAINE PUBLIC;MUSEE DU PETIT PALAIS;75008;MUSEE DU PETIT PALAIS 75008 Paris France;
PARLEZ-MOI DE LA PLUIE;AGNES JAOUI;15/10/2007;15/10/2007;EXTERIEUR;FAUBOURG SAINT DENIS ET R DE L'ECHIQUIER (ANGLE);75010;FAUBOURG SAINT DENIS ET R DE L'ECHIQUIER (ANGLE) 75010 Paris France;
OPERATION CAPUCINES;MAKA SIDIBE;17/10/2007;17/10/2007;EXTERIEUR;PLACE DE LA REPUBLIQUE;75003;PLACE DE LA REPUBLIQUE 75003 Paris France;
OPERATION CAPUCINES;MAKA SIDIBE;17/10/2007;17/10/2007;EXTERIEUR;RUE DU VOLTA;75003;RUE DU VOLTA 75003 Paris France;
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;31/10/2007;31/10/2007;EXTERIEUR;RUE DES ENVIERGES;75020;RUE DES ENVIERGES 75020 Paris France;48.87228, 2.387681
BABY BLUES;DIANE BERTRAND;19/10/2007;19/10/2007;DOMAINE PUBLIC;PARC DES BUTTES CHAUMONT;75019;PARC DES BUTTES CHAUMONT 75019 Paris France;48.879974, 2.381841
SECRET DEFENSE;PHILIPPE HAIM;02/04/2008;02/04/2008;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
SECRET DEFENSE;PHILIPPE HAIM;20/02/2008;20/02/2008;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
SECRET DEFENSE;PHILIPPE HAIM;23/10/2007;23/10/2007;DOMAINE PUBLIC;BOIS DE VINCENNES;75012;BOIS DE VINCENNES 75012 Paris France;48.832576, 2.418326
SECRET DEFENSE;PHILIPPE HAIM;02/05/2008;02/05/2008;EXTERIEUR;HOTEL RAPHAEL;75016;HOTEL RAPHAEL 75016 Paris France;
SECRET DEFENSE;PHILIPPE HAIM;02/05/2008;02/05/2008;EXTERIEUR;PLACE CHARLES FILLION;75016;PLACE CHARLES FILLION 75016 Paris France;
SECRET DEFENSE;PHILIPPE HAIM;20/02/2008;20/02/2008;EXTERIEUR;RUE PIERRE CHARRON;75008;RUE PIERRE CHARRON 75008 Paris France;
VERSAILLES;PIERRE SCHOELLER;25/10/2007;25/10/2007;EXTERIEUR;CARREFOUR BD HAUSSMANN, BD DES ITALIENS;75002;CARREFOUR BD HAUSSMANN, BD DES ITALIENS 75002 Paris France;
VERSAILLES;PIERRE SCHOELLER;15/11/2007;15/11/2007;EXTERIEUR;PLACE CHARLES FILLON;75018;PLACE CHARLES FILLON 75018 Paris France;
VERSAILLES;PIERRE SCHOELLER;13/11/2007;13/11/2007;EXTERIEUR;RUE AUX OURS;75003;RUE AUX OURS 75003 Paris France;48.863147, 2.352022
VERSAILLES;PIERRE SCHOELLER;25/10/2007;25/10/2007;EXTERIEUR;RUE DAMREMONT;75018;RUE DAMREMONT 75018 Paris France;48.891844, 2.335106
VERSAILLES;PIERRE SCHOELLER;25/10/2007;25/10/2007;EXTERIEUR;RUE JEAN DOLLFUS;75018;RUE JEAN DOLLFUS 75018 Paris France;
35 RHUMS;CLAIRE DENIS;12/10/2007;12/10/2007;EXTERIEUR;CANAL DE L'OURCQ;93500;CANAL DE L'OURCQ 93500 Paris France;
35 RHUMS;CLAIRE DENIS;21/11/2007;21/11/2007;EXTERIEUR;RUE CUGNOT;75018;RUE CUGNOT 75018 Paris France;
35 RHUMS;CLAIRE DENIS;12/04/2007;12/04/2007;EXTERIEUR;RUE DES ROSES;75018;RUE DES ROSES 75018 Paris France;
COLUCHE;ANTOINE DE CAUNES;12/11/2007;12/11/2007;DOMAINE PUBLIC;ROUTE DE SURESNES;75016;ROUTE DE SURESNES 75016 Paris France;
POUR ELLE;F. CAVAYE;12/11/2007;12/11/2007;EXTERIEUR;BOULEVARD DE LA CHAPELLE;75018;BOULEVARD DE LA CHAPELLE 75018 Paris France;48.884366, 2.356883
LES INSEPARABLES/CIRCUIT FERME;CHRISTINE DORY;17/12/2007;17/12/2007;EXTERIEUR;RUE FRANCOIS MIRON;75004;RUE FRANCOIS MIRON 75004 Paris France;48.855659, 2.357158
LES INSEPARABLES/CIRCUIT FERME;CHRISTINE DORY;22/11/2007;22/11/2007;EXTERIEUR;RUE DE LA GRANGE AUX BELLES;75010;RUE DE LA GRANGE AUX BELLES 75010 Paris France;48.875657, 2.367231
UN SIMPLE ESPION;NICOLAS SAADA;23/11/2007;23/11/2007;EXTERIEUR;RUE HOUDIN;75011;RUE HOUDIN 75011 Paris France;
JE TE MANGERAIS;SOPHIE LALOY;12/05/2007;12/05/2007;EXTERIEUR;AVENUE RYUSDAEL;75008;AVENUE RYUSDAEL 75008 Paris France;
JE TE MANGERAIS;SOPHIE LALOY;12/05/2007;12/05/2007;EXTERIEUR;AVENUE DE MESSINE;75008;AVENUE DE MESSINE 75008 Paris France;48.876521, 2.31272
FRENCH FILM;JACKIE OUDNEY;05/02/2007;05/03/2007;EXTERIEUR;PASSERELLE DEBILLY;75007;PASSERELLE DEBILLY 75007 Paris France;48.861718, 2.297551
MAANAR;I.V. SASI;12/06/2007;12/06/2007;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
MAANAR;I.V. SASI;12/06/2007;12/06/2007;EXTERIEUR;PONT DE L'ARCHEVECHE;75005;PONT DE L'ARCHEVECHE 75005 Paris France;48.851604, 2.351582
MAANAR;I.V. SASI;12/06/2007;12/06/2007;DOMAINE PUBLIC;QUAI MALAQUAIS;75006;QUAI MALAQUAIS 75006 Paris France;48.858164, 2.334424
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;AVENUE ALBERT 1ER DE MONACO;75016;AVENUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;PONT DE L'ARCHEVECHE;75005;PONT DE L'ARCHEVECHE 75005 Paris France;48.851604, 2.351582
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;QUAI CONTI;75006;QUAI CONTI 75006 Paris France;48.857199, 2.338628
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;QUAI DES SAINTS PERES;75006;QUAI DES SAINTS PERES 75006 Paris France;
CHRISTMAS IN PARIS;HANS ROYAARDS;27/02/2008;27/02/2008;DOMAINE PUBLIC;BERGES DU QUAI D'ORLEANS;75004;BERGES DU QUAI D'ORLEANS 75004 Paris France;
LA FEMME INVISIBLE;AGATHE TEYSSIER;22/01/2008;22/01/2008;EXTERIEUR;PORT SAINT DENIS;75010;PORT SAINT DENIS 75010 Paris France;
LA FEMME INVISIBLE;AGATHE TEYSSIER;24/01/2008;24/01/2008;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE;75010;RUE DU FAUBOURG DU TEMPLE 75010 Paris France;48.869691, 2.370054
LA FEMME INVISIBLE;AGATHE TEYSSIER;01/09/2008;01/09/2008;EXTERIEUR;RUE VIEILLE DU TEMPLE;75003;RUE VIEILLE DU TEMPLE 75003 Paris France;48.860209, 2.361252
LA FEMME INVISIBLE;AGATHE TEYSSIER;15/01/2008;15/01/2008;EXTERIEUR;RUE DES SAINTS PERES;75006;RUE DES SAINTS PERES 75006 Paris France;48.85511, 2.33076
LA FEMME INVISIBLE;AGATHE TEYSSIER;01/09/2008;01/09/2008;EXTERIEUR;RUE DE TURENNE;75003;RUE DE TURENNE 75003 Paris France;48.860373, 2.364558
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/02/2008;21/02/2008;EXTERIEUR;BOULEVARD BARBES;75018;BOULEVARD BARBES 75018 Paris France;48.887872, 2.34953
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/01/2008;21/01/2008;EXTERIEUR;PLACE BOIELDIEU;75002;PLACE BOIELDIEU 75002 Paris France;48.870721, 2.337954
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;22/01/2008;22/01/2008;EXTERIEUR;RUE DE MARIVAUX;75002;RUE DE MARIVAUX 75002 Paris France;
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;26/03/2008;26/03/2008;EXTERIEUR;RUE CHARLES BAUDELAIRE;75012;RUE CHARLES BAUDELAIRE 75012 Paris France;
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/02/2008;21/02/2008;EXTERIEUR;RUE MYRHA;75018;RUE MYRHA 75018 Paris France;48.88699, 2.352573
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/02/2008;21/02/2008;EXTERIEUR;RUE POULET;75018;RUE POULET 75018 Paris France;48.887309, 2.349623
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/02/2008;21/02/2008;EXTERIEUR;RUE BELHOMME ET BD ROCHECHOUART (ANGLE);75018;RUE BELHOMME ET BD ROCHECHOUART (ANGLE) 75018 Paris France;
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;02/07/2008;02/07/2008;EXTERIEUR;RUE DU FAUBOURG SAINT MARTIN;75010;RUE DU FAUBOURG SAINT MARTIN 75010 Paris France;48.876831, 2.360984
UN HOMME ET SON CHIEN;FRANCIS HUSTER;03/12/2008;03/12/2008;EXTERIEUR;RUE D'ALSACE;75010;RUE D'ALSACE 75010 Paris France;48.877875, 2.3583
TRANSPORT;OLIVIER MEGATON;05/05/2008;05/05/2008;EXTERIEUR;PLACE SAINT AUGUSTIN;75008;PLACE SAINT AUGUSTIN 75008 Paris France;48.875131, 2.319833
LOL;LISA AZUELOS;21/04/2008;21/04/2008;EXTERIEUR;RUE DU DOCTEUR GERMAIN SEE;75016;RUE DU DOCTEUR GERMAIN SEE 75016 Paris France;48.853705, 2.280051
ET SI...;OLEG OSSIPOV;03/05/2008;03/06/2008;EXTERIEUR;PONT AU DOUBLE;75004;PONT AU DOUBLE 75004 Paris France;48.852611, 2.348438
ET SI...;OLEG OSSIPOV;03/04/2008;03/04/2008;EXTERIEUR;RUE BRIQUET;75018;RUE BRIQUET 75018 Paris France;
TON PROCHAIN;ANNE RIITTA CICCONE;19/03/2008;19/03/2008;EXTERIEUR;BOULEVARD PASTEUR;75015;BOULEVARD PASTEUR 75015 Paris France;48.842041, 2.313547
TON PROCHAIN;ANNE RIITTA CICCONE;19/03/2008;19/03/2008;EXTERIEUR;PLACE DE BRETEUIL;75017;PLACE DE BRETEUIL 75017 Paris France;
TON PROCHAIN;ANNE RIITTA CICCONE;17/03/2008;17/03/2008;EXTERIEUR;PLACE DU DOCTEUR LOBLIGEOIS;75017;PLACE DU DOCTEUR LOBLIGEOIS 75017 Paris France;
LES HERBES FOLLES;ALAIN RESNAIS;25/06/2008;25/06/2008;EXTERIEUR;AVENUE FRANKLIN ROOSEVELT;75008;AVENUE FRANKLIN ROOSEVELT 75008 Paris France;48.869169, 2.310126
LES ZONES TURQUOISES;JALIL LESPERT;04/07/2008;04/07/2008;EXTERIEUR;FAUBOURG ST-DENIS/ANGLE R DU CHATEAU D'EAU;75010;FAUBOURG ST-DENIS/ANGLE R DU CHATEAU D'EAU 75010 Paris France;
LES ZONES TURQUOISES;JALIL LESPERT;04/07/2008;04/07/2008;EXTERIEUR;RUE FENELON;75010;RUE FENELON 75010 Paris France;48.87869, 2.351438
EDEN A L'OUEST;COSTA GAVRAS;28/04/2008;28/04/2008;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
EDEN A L'OUEST;COSTA GAVRAS;28/04/2008;28/04/2008;EXTERIEUR;BOULEVARD BOURDON;75004;BOULEVARD BOURDON 75004 Paris France;48.850108, 2.366928
EDEN A L'OUEST;COSTA GAVRAS;22/04/2008;22/04/2008;EXTERIEUR;PLACE NATHALIE LEMEL;75003;PLACE NATHALIE LEMEL 75003 Paris France;
EDEN A L'OUEST;COSTA GAVRAS;05/01/2008;05/01/2008;EXTERIEUR;RUE DE LYON;75012;RUE DE LYON 75012 Paris France;48.84936, 2.370798
EDEN A L'OUEST;COSTA GAVRAS;23/04/2008;23/04/2008;EXTERIEUR;RUE DE TURBIGO;75003;RUE DE TURBIGO 75003 Paris France;48.86454, 2.352086
EDEN A L'OUEST;COSTA GAVRAS;05/05/2008;05/05/2008;EXTERIEUR;RUE DE SEINE;75006;RUE DE SEINE 75006 Paris France;48.854513, 2.336874
LE CODE A CHANGE;DANIELE THOMPSON;28/05/2008;28/05/2008;EXTERIEUR;AVENUE RICHERAND;75010;AVENUE RICHERAND 75010 Paris France;48.872262, 2.366175
LE CODE A CHANGE;DANIELE THOMPSON;28/05/2008;28/05/2008;EXTERIEUR;RUE MANIN;75019;RUE MANIN 75019 Paris France;48.883023, 2.385709
CHERI;STEPHEN FREARS;20/05/2008;20/05/2008;EXTERIEUR;RUE PAUL SAUNIERE;75016;RUE PAUL SAUNIERE 75016 Paris France;
LE DERNIER POLICHINELLE;MAURIZIO SCAPARRO;05/12/2008;05/12/2008;EXTERIEUR;PLACE DE LA SORBONNE;75005;PLACE DE LA SORBONNE 75005 Paris France;48.848577, 2.342194
AN EDUCATION;LONE SCHERFIG;05/02/2008;05/02/2008;EXTERIEUR;QUAI DE LA TOURNELLE;75005;QUAI DE LA TOURNELLE 75005 Paris France;48.85042, 2.353546
CYPRIEN;DAVID CHARHON;21/07/2008;21/07/2008;EXTERIEUR;QUAI DE LA MARNE;75019;QUAI DE LA MARNE 75019 Paris France;48.889903, 2.383087
CYPRIEN;DAVID CHARHON;21/07/2008;21/07/2008;EXTERIEUR;RUE ET PLACE DE THIONVILLE;75019;RUE ET PLACE DE THIONVILLE 75019 Paris France;
CYPRIEN;DAVID CHARHON;21/07/2008;21/07/2008;EXTERIEUR;RUE DE THIONVILLE/DE LA MEURTHE;75019;RUE DE THIONVILLE/DE LA MEURTHE 75019 Paris France;
LES INVITES DE MON PERE;ANNE LE NY;28/05/2009;28/05/2009;EXTERIEUR;RUE MARGUERITE;75017;RUE MARGUERITE 75017 Paris France;
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;06/04/2009;06/04/2009;EXTERIEUR;BOULEVARD DE CLICHY;75018;BOULEVARD DE CLICHY 75018 Paris France;48.883617, 2.333584
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;06/08/2009;06/08/2009;EXTERIEUR;PUCES DE L'ARCHEVECHE;75004;PUCES  DE L'ARCHEVECHE 75004 Paris France;
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;06/08/2009;06/08/2009;EXTERIEUR;PORT DE LA TOURNELLE;75004;PORT  DE LA TOURNELLE 75004 Paris France;
CA COMMENCE PAR LA FIN;MICHAEL COHEN;30/06/2009;30/06/2009;EXTERIEUR;RUE DE TURGOT;75009;RUE DE TURGOT 75009 Paris France;
ENSEMBLE, NOUS ALLONS VIVRE UNE TRES GRANDE HISTOIRE D'AMOUR;PASCAL THOMAS;27/07/2009;27/07/2009;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
LES MAINS EN L'AIR/JE M'APPELLE TOUS MILANA;ROMAIN GOUPIL;15/07/2009;15/07/2009;EXTERIEUR;RUE BELLIARD;75018;RUE BELLIARD 75018 Paris France;
HAPPY FEW;ANTONY CORDIER;27/07/2009;27/07/2009;EXTERIEUR;RUE MALEBRANCHE;75005;RUE MALEBRANCHE 75005 Paris France;48.846433, 2.342561
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;LUC BESSON;24/09/2009;25/09/2009;EXTERIEUR;RUE DU FAUBOURG SAINT HONORE;75008;RUE DU FAUBOURG SAINT HONORE 75008 Paris France;48.872845, 2.310735
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;LUC BESSON;14/09/2009;14/09/2009;EXTERIEUR;PLACE DES PYRAMIDES;75001;PLACE DES PYRAMIDES 75001 Paris France;48.863996, 2.332281
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;LUC BESSON;17/09/2009;17/09/2009;DOMAINE PUBLIC;BERGES DU QUAI FRANCOIS MITTERRAND;75001;BERGES  DU QUAI FRANCOIS MITTERRAND 75001 Paris France;
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;LUC BESSON;09/11/2009;09/11/2009;DOMAINE PUBLIC;PARC MONCEAU;75008;PARC  MONCEAU 75008 Paris France;
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;LUC BESSON;27/10/2009;27/10/2009;EXTERIEUR;PLACE VALHUBERT;75005;PLACE VALHUBERT 75005 Paris France;
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;LUC BESSON;30/10/2009;30/10/2009;EXTERIEUR;PLACE ANDRE MALRAUX;75001;PLACE ANDRE MALRAUX 75001 Paris France;48.863936, 2.335195
LES PETITS MOUCHOIRS;GUILLAUME CANET;15/10/2009;15/10/2009;EXTERIEUR;RUE SAINT LOUIS EN L'ILE;75004;RUE SAINT LOUIS EN L'ILE 75004 Paris France;
LES PETITS MOUCHOIRS;GUILLAUME CANET;08/06/2009;08/07/2009;EXTERIEUR;AVENUE RAPP;75007;AVENUE RAPP 75007 Paris France;48.860348, 2.300831
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;12/11/2009;12/11/2009;EXTERIEUR;RUE MONGOLFIER;75003;RUE MONGOLFIER 75003 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;19/10/2009;19/10/2009;EXTERIEUR;RUE BERTON;75016;RUE BERTON 75016 Paris France;48.854948, 2.280583
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;28/10/2009;28/10/2009;EXTERIEUR;RUE LABAT;75018;RUE LABAT 75018 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;12/11/2009;12/11/2009;EXTERIEUR;RUE VAUCANSSON;75003;RUE VAUCANSSON 75003 Paris France;
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;11/06/2009;11/06/2009;EXTERIEUR;PONT SAINT LOUIS;75004;PONT SAINT LOUIS 75004 Paris France;48.852745, 2.352713
CIEL ETRANGER;ANDREI ESHPAY;29/10/2009;29/10/2009;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
BRACELETS DE FER;GENIFOR JAYAKOBY;24/11/2009;24/11/2009;EXTERIEUR;RUE DU FAUBOURG SAINT DENIS;75010;RUE DU FAUBOURG SAINT DENIS 75010 Paris France;48.877194, 2.356223
BRACELETS DE FER;GENIFOR JAYAKOBY;23/12/2009;23/12/2009;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
BRACELETS DE FER;GENIFOR JAYAKOBY;27/11/2009;27/11/2009;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
BRACELETS DE FER;GENIFOR JAYAKOBY;19/12/2009;19/12/2009;EXTERIEUR;PONT MARIE;75004;PONT MARIE 75004 Paris France;48.852808, 2.357356
BRACELETS DE FER;GENIFOR JAYAKOBY;20/11/2009;20/11/2009;EXTERIEUR;RUE DE RIVOLI;75004;RUE DE RIVOLI 75004 Paris France;48.858477, 2.348357
BRACELETS DE FER;GENIFOR JAYAKOBY;22/12/2009;22/12/2009;EXTERIEUR;PLACE DE LA BASTILLE;75004;PLACE DE LA BASTILLE 75004 Paris France;48.853183, 2.369144
BRACELETS DE FER;GENIFOR JAYAKOBY;25/11/2009;25/11/2009;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
FLEURS DU MAL;DAVID DUSA;11/07/2009;11/07/2009;EXTERIEUR;AVENUE DU PRESIDENT WILSON;75016;AVENUE DU PRESIDENT WILSON 75016 Paris France;48.865039, 2.295434
FLEURS DU MAL;DAVID DUSA;11/10/2009;11/10/2009;EXTERIEUR;RUE DU CHEVALIER DE LA BARRE;75018;RUE DU CHEVALIER DE LA BARRE 75018 Paris France;48.887546, 2.344538
DRIFT AWAY;DANIEL SICARD;26/11/2009;26/11/2009;EXTERIEUR;PONT DE L'AVENUE DE LA PORTE D'IVRY;75013;PONT DE L'AVENUE DE LA PORTE D'IVRY 75013 Paris France;
BELLE EPINE;REBECCA ZLOTOWSKI;18/11/2009;18/11/2009;EXTERIEUR;RUE PUGET;75018;RUE PUGET 75018 Paris France;
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;19/04/2010;19/04/2010;EXTERIEUR;BOULEVARD PEREIRE;75017;BOULEVARD PEREIRE 75017 Paris France;48.884631, 2.296927
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;19/04/2010;19/04/2010;EXTERIEUR;PLACE DE LA PORTE MAILLOT;75017;PLACE DE LA PORTE MAILLOT 75017 Paris France;
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;26/01/2010;26/01/2010;EXTERIEUR;BOULEVARD LANNES;75016;BOULEVARD LANNES 75016 Paris France;
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;01/07/2010;01/07/2010;EXTERIEUR;RUE DU SENTIER;75002;RUE DU SENTIER 75002 Paris France;48.869179, 2.345849
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;19/04/2010;19/04/2010;EXTERIEUR;BOULEVARD BERTHIER;75017;BOULEVARD BERTHIER 75017 Paris France;48.889803, 2.303428
