title;year;genres;realisators;actors;synopsis;language;country;rate;duration;found
GRANDE ECOLE;2004;;Robert Salis (scenario),Jean-marie Besset (scenario),Jean-marie Besset (play),;Gregori Baquet,Alice Taglioni,Jocelyn Quivrin,Élodie Navarre,;Paul and Agnes have been going out for quite a while and Agnes is shocked to learn that he'd rather live with two roommates on campus than move in with her. As soon as he meets one of his ...;French;France;5.9;110;true
TIRESIA;2003;;Bertrand Bonello,Luca Fazzi (story),;Laurent Lucas,Clara Choveaux,Thiago Telès,Célia Catalifo,;Tiresia is at the same time woman and man, according to Greek Mythology. Here, Tiresia is a Brazilian transexual living with her brother in the outskirts of Paris. Terranova, an admirer of ...;French, Portuguese;France, Canada;6.5;115;true
DEPUIS QU'OTAR EST PARTI;0;null;null;null;null;null;null;0.0;0;false
LE FUGITIF;1947;;René Jolivet,;Alfred Adam,René Dary,Jean Debucourt,Albert Dinan,;N/A;French;France;5.0;95;true
AFRICA PARADIS;2006;;Sylvestre Amoussou,;Stéphane Roux,Eriq Ebouaney,Sylvestre Amoussou,Charlotte Vermeil,;N/A;French;Benin, France;5.4;86;true
NATHALIE X...;0;null;null;null;null;null;null;0.0;0;false
LE TUEUR SANS GAGES;0;null;null;null;null;null;null;0.0;0;false
SUPER RIPOUX;0;null;null;null;null;null;null;0.0;0;false
JE RESTE;2013;;Jean-frédéric Thibault,;N/a,;N/A;French;France;0.0;0;true
PROCESS;2004;;C.s. Leigh,;Béatrice Dalle,Guillaume Depardieu,Julia Faure,Daniel Duval,;N/A;French, English;France, UK;6.2;93;true
COMME UN SEUL HOMME;0;null;null;null;null;null;null;0.0;0;false
VICE ET VERSA;0;null;null;null;null;null;null;0.0;0;false
WILD SIDE;1995;;China Kong,Donald Cammell,;Christopher Walken,Joan Chen,Steven Bauer,Anne Heche,;While Bruno is an international money mover and influence peddler and Virginia is his very beautiful wife, his sexual appetite requires the services of banker and part-time hooker Alex. It's love at first sight. But, who are the lovers?;English;UK, USA;5.6;96;true
5 X 2;0;null;null;null;null;null;null;0.0;0;false
LE CONVOYEUR;2004;;Éric Besnard,Nicolas Boukhrief,;Albert Dupontel,Jean Dujardin,François Berléand,Claude Perron,;In France, the disturbed and mysterious Alexandre Demarre is hired as security guard for the Vigilante armored truck company earning 1,200 euros per month and lodges in a hotel nearby the ...;French;France;6.7;95;true
AGENTS SECRETS;0;null;null;null;null;null;null;0.0;0;false
UNE VIE A T'ATTENDRE;2004;;Thierry Klifa (scenario),Christopher Thompson (scenario),;Nathalie Baye,Patrick Bruel,Géraldine Pailhas,Anouk Grinberg,;A married Frenchwoman living in Brazil returns to her native country to visit her ailing elderly mother. There, she ends up rekindling a love affair with a man whom she hadn't seen in twelve years.;French, Italian;France;5.3;105;true
INCEPTION / OLIVER'S ARROW;0;null;null;null;null;null;null;0.0;0;false
